geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AMEX60DD000254	1601.075474	-0.332582904	0.358094099	-0.928758403	0.353014306	0.999973456
AMEX60DD000256	2268.458183	-0.107955958	0.230215624	-0.468934107	0.639116736	0.999973456
AMEX60DD000257	1474.487714	0.639853587	0.386489938	1.655550441	0.097812893	0.909973934
AMEX60DD000259	60.17674426	0.285565668	0.834602946	0.342157512	0.732232358	0.999973456
AMEX60DD000260	417.9573259	0.105073658	0.395749578	0.265505421	0.790620134	0.999973456
AMEX60DD000264	22.49635513	-0.324685844	1.112827735	-0.291766492	0.770465167	0.999973456
AMEX60DD000265	889.3485797	-0.116081697	0.248504032	-0.467121986	0.640412605	0.999973456
AMEX60DD000267	792.7821268	0.039342373	0.322704624	0.121914501	0.902966732	0.999973456
AMEX60DD000273	762.4928564	0.969247841	0.661429523	1.465383397	0.142816345	0.999973456
AMEX60DD000274	1937.523672	1.07684691	0.681802302	1.579412254	0.114241528	0.982842495
AMEX60DD000279	9.019811408	-1.304104173	1.483529596	-0.879055044	0.379371432	NA
AMEX60DD000284	84.49318914	-0.534903823	1.645768041	-0.325017748	0.745167639	0.999973456
AMEX60DD000287	104.5587992	1.137277232	1.363313774	0.834200646	0.404167927	0.999973456
AMEX60DD000288	200.3681826	1.091734039	0.999914975	1.091826871	0.274909206	0.999973456
AMEX60DD000290	35.15893455	-0.863972643	1.651273267	-0.52321603	0.600823927	0.999973456
AMEX60DD000295	42.87338668	-0.683663185	1.441325092	-0.474329621	0.635264872	0.999973456
AMEX60DD000296	25.17048911	1.861990564	2.471675524	0.753331311	0.451250848	0.999973456
AMEX60DD000297	23.75139735	-0.096987228	1.177143909	-0.082391989	0.934335006	0.999973456
AMEX60DD000298	40.42571424	0.605575674	1.293920549	0.468016119	0.639773062	0.999973456
AMEX60DD000299	15.53736774	1.746172998	1.500684727	1.163584174	0.244592568	0.999973456
AMEX60DD000301	61.99670719	2.989243731	1.037087874	2.88234373	0.003947289	0.125640511
AMEX60DD000303	32.23144234	0.490949066	1.212637188	0.404860638	0.685579953	0.999973456
AMEX60DD000304	90.34910813	3.171739777	1.341768055	2.363851015	0.018086084	0.340861093
AMEX60DD000306	7.949929103	-0.318713469	2.46744541	-0.129167384	0.897225204	NA
AMEX60DD000308	14.92364509	0.062292289	1.941901251	0.03207799	0.974409856	0.999973456
AMEX60DD000310	14.0997085	-0.958880016	1.286056646	-0.745597031	0.455910877	0.999973456
AMEX60DD000311	9.678604522	-0.406852047	1.858154886	-0.218954862	0.826685209	NA
AMEX60DD000312	104.837349	3.306431197	1.733248868	1.907649419	0.056436543	0.678974138
AMEX60DD000314	33.21936665	3.166779227	1.753103805	1.806384322	0.070858329	0.770707458
AMEX60DD000315	26.95774581	2.154861617	2.928931731	0.735715891	0.461903617	0.999973456
AMEX60DD000320	45.65478956	0.994286318	1.499859447	0.662919662	0.507382008	0.999973456
AMEX60DD000321	15.79503448	0.287656334	1.40009423	0.205454981	0.837216668	0.999973456
AMEX60DD000322	22.71010862	0.561277526	1.277385331	0.439395625	0.660374896	0.999973456
AMEX60DD000326	13.63595274	-0.340017577	1.872825848	-0.181553227	0.855933358	0.999973456
AMEX60DD000334	250.67622	0.060941962	0.410720281	0.148378263	0.882044254	0.999973456
AMEX60DD000335	55.2621438	0.017074902	0.678331826	0.025171901	0.97991785	0.999973456
AMEX60DD000336	6822.221804	-0.215216349	0.235185395	-0.915092323	0.360143165	0.999973456
AMEX60DD000337	6523.924326	-0.198481313	0.235483322	-0.842867812	0.399302377	0.999973456
AMEX60DD000338	120.8159376	0.117419298	0.531379759	0.220970589	0.825115333	0.999973456
AMEX60DD000340	2057.976131	-0.125931479	0.352788126	-0.356960651	0.721121264	0.999973456
AMEX60DD000341	13.95260383	0.830140494	1.368266276	0.606709752	0.544043549	0.999973456
AMEX60DD000344	23.62494705	-0.030951738	0.88094612	-0.035134656	0.971972367	0.999973456
AMEX60DD000345	8.046730891	-0.185354432	2.136216677	-0.086767618	0.930856228	NA
AMEX60DD000348	36.24355898	-1.007011257	1.581490426	-0.636748248	0.524288841	0.999973456
AMEX60DD000349	32.6039394	0.615458206	1.561339871	0.394185928	0.693443774	0.999973456
AMEX60DD000352	16.36372197	-0.711766524	1.826381148	-0.389714121	0.696747953	0.999973456
AMEX60DD000355	7.344013424	-0.353737849	3.473383328	-0.101842445	0.918881735	NA
AMEX60DD000358	30.90886332	1.949281163	1.340312208	1.454348585	0.145849687	0.999973456
AMEX60DD000359	22.83589017	-1.488562405	1.713264795	-0.868845498	0.384931643	0.999973456
AMEX60DD000363	84.2161137	-0.057012833	0.813963028	-0.070043517	0.944159023	0.999973456
AMEX60DD000388	652.153295	0.321020487	0.46293218	0.693450361	0.488026967	0.999973456
AMEX60DD000395	66.48033194	0.835307956	0.9137676	0.914136106	0.360645332	0.999973456
