Gene.ID	Gene.Name	Log2FC	FDR	AveExpr	undif.r1	undif.r2	undif.r3	dif.r1	dif.r2	dif.r3
ENSG00000217128	FNIP1	0.395074191	0.02253868	4.41704162714252	378	380	390	527	554	508
ENSG00000217442	SYCE3	2.348021811	0.022536529	-2.0967722728463	2	1	2	20	11	6
ENSG00000217555	CKLF	-0.457516	0.132794669	0.902820181085488	57	38	41	26	35	43
ENSG00000217930	PAM16	0.451475662	0.035209945	2.53875325117154	107	115	86	114	163	168
ENSG00000218305	CDC14C	0.25883324	0.577309616	-0.915584863103786	8	10	11	7	17	14
ENSG00000218336	TENM3	0.457530837	0.002128567	7.1655994041601	2533	2592	2438	3130	4144	3708
ENSG00000218739	CEBPZOS	-0.378006162	0.020068045	5.50680569117381	1112	1019	1066	871	892	826
ENSG00000218891	ZNF579	0.169795911	0.142970566	4.89026729676219	619	622	492	624	766	658
ENSG00000219200	RNASEK	0.654427733	0.031975947	1.85825268125656	62	72	45	106	99	91
ENSG00000219438	FAM19A5	6.215755492	0.000334261	-1.2021741110306	0	1	1	88	84	70
ENSG00000219481	NBPF1	-0.466808057	0.025079077	5.78384205120947	1473	1360	1186	710	1184	1229
ENSG00000219545	UMAD1	0.238591121	0.168735001	4.30969150041457	378	366	380	488	492	421
ENSG00000219607	PPP1R3G	0.205051791	0.706753991	-0.766110401958129	15	8	10	20	13	9
ENSG00000219626	FAM228B	-0.061699536	0.654941661	3.96011568355885	357	315	312	256	365	378
ENSG00000220201	ZGLP1	0.700412251	0.03425338	0.536442726878711	27	20	22	41	41	37
ENSG00000220205	VAMP2	0.331301017	0.105283258	5.83856571501127	1082	1084	981	1577	1285	1322
ENSG00000221821	C6orf226	1.095777068	0.011093284	2.32173492109857	88	58	65	195	140	147
ENSG00000221823	PPP3R1	0.177210877	0.070006627	5.43953627295374	866	837	816	885	1064	1052
ENSG00000221829	FANCG	-1.142003131	0.000127086	5.6480937282903	1605	1622	1385	590	794	826
ENSG00000221838	AP4M1	-0.057560841	0.530628813	5.42036392861991	945	953	804	821	946	962
ENSG00000221843	C2orf16	-1.55687015	0.000119469	2.7966280527881	267	246	222	81	91	90
ENSG00000221866	PLXNA4	-2.164255309	0.000186292	6.90463324986041	6461	5234	4190	1317	1430	974
ENSG00000221867	MAGEA3	-0.206480338	0.028322689	7.11767833292147	3369	3088	2778	2536	3056	2816
ENSG00000221869	CEBPD	1.601858899	0.057533089	3.27337904969668	143	126	77	764	300	222
ENSG00000221883	ARIH2OS	0.612626757	0.098732655	0.676468493750642	27	34	19	45	50	34
ENSG00000221886	ZBED8	0.782084537	0.002635256	3.01144385599997	139	111	130	207	260	220
ENSG00000221887	HMSD	0.249339699	0.727981843	-1.98650966182554	9	4	2	4	10	4
ENSG00000221890	NPTXR	-0.975916868	0.000737346	4.29468683643233	626	631	460	241	355	321
ENSG00000221909	FAM200A	0.771814448	0.000423825	4.67283047917164	435	383	388	619	772	780
ENSG00000221914	PPP2R2A	-0.179668418	0.214582506	5.80632386496672	1270	1238	1174	841	1364	1273
ENSG00000221916	C19orf73	0.345578141	0.311490932	0.302166453398081	19	31	18	28	33	28
ENSG00000221923	ZNF880	1.023590389	0.000513356	4.01699039396337	271	225	206	494	511	495
ENSG00000221926	TRIM16	0.291427689	0.133215952	4.61780054842513	459	485	423	651	591	529
ENSG00000221944	TIGD1	0.296172038	0.03561155	3.8968393634887	279	278	272	312	369	392
ENSG00000221947	XKR9	-0.088179782	0.880810583	-0.496111782168111	25	9	13	20	11	14
ENSG00000221955	SLC12A8	1.097695215	0.00845432	0.256170800181927	16	18	15	36	45	32
ENSG00000221963	APOL6	-0.16095026	0.809086936	-0.858513935994106	11	11	12	23	8	7
ENSG00000221968	FADS3	0.771641912	0.005558859	5.12805432611613	587	600	469	1104	927	948
ENSG00000221978	CCNL2	0.032113404	0.735263285	8.5497261704625	7956	8093	6884	7448	8363	8823
ENSG00000221983	UBA52	0.08387649	0.495001794	9.00236266564648	11757	10301	8895	11257	12323	10710
ENSG00000221988	PPT2	-0.612532346	0.001087712	4.35303028903558	554	509	496	332	385	356
ENSG00000221994	ZNF630	-0.198915222	0.253447569	1.95403343533583	91	84	80	69	80	85
ENSG00000221995	TIAF1	0.90304433	0.00615009	1.40232698269195	38	47	34	64	81	90
ENSG00000222009	BTBD19	0.325412222	0.154605665	3.07258037846148	175	165	125	213	236	169
ENSG00000222011	FAM185A	-0.08647215	0.447050148	3.54551415956909	255	250	237	215	267	254
ENSG00000222014	RAB6C	1.13525886	0.027399733	-0.316615054490175	9	11	12	31	21	25
ENSG00000222046	DCDC2B	-0.787742862	0.189051591	-0.315617845944161	21	24	20	5	27	14
ENSG00000223496	EXOSC6	0.026045943	0.756195272	5.77341518692864	1178	1162	1012	1043	1276	1275
ENSG00000223501	VPS52	-0.617990392	0.000689439	5.79477002276747	1565	1411	1280	871	990	1054
ENSG00000223510	CDRT15	-0.636974974	0.257185947	-1.30226408284832	8	17	7	7	8	5
ENSG00000223547	ZNF844	1.302851762	0.00324656	2.19134771047829	62	70	47	180	150	140
ENSG00000223572	CKMT1A	-1.280839256	0.005822297	2.62503078559934	209	204	187	44	118	114
ENSG00000223573	TINCR	1.425036518	0.013397607	-0.705010076581632	9	7	6	15	33	19
ENSG00000223658	C1GALT1C1L	0.251681677	0.402242586	2.94722426735961	166	138	129	233	150	176
ENSG00000223802	CERS1	-0.254736208	0.080686325	3.15348527173985	229	196	177	147	200	184
ENSG00000223953	C1QTNF5	1.419583955	0.239218421	-2.49332350456564	8	0	2	10	5	4
ENSG00000224051	CPTP	0.385846314	0.014350807	5.07929060046798	694	659	490	736	950	835
ENSG00000224383	PRR29	0.667359424	0.005895404	2.35803803276911	94	82	74	135	140	144
ENSG00000224389	C4B	3.533702631	0.005145545	0.596021386487847	6	17	6	169	120	69
ENSG00000224420	ADM5	-0.124151488	0.75922713	0.245604917681222	23	32	21	21	19	35
ENSG00000224470	ATXN1L	0.293136392	0.013908097	6.58329545459952	1882	1795	1675	1867	2624	2464
ENSG00000224531	SMIM13	-0.196577369	0.253764972	5.18000375832434	898	699	814	553	815	864
ENSG00000224578	HNRNPA1P48	-0.397570575	0.005865195	7.82353822474648	5647	5215	5195	3467	5003	4478
ENSG00000224877	NDUFAF8	-0.421906534	0.016812855	5.54019963539539	1269	1045	1020	867	822	924
ENSG00000224940	PRRT4	-1.436718997	0.001052457	8.26899529777371	11168	11458	8895	2590	5069	5071
ENSG00000225180	PVALEF	-1.238088413	0.067672288	-0.646657753279246	16	22	23	3	14	13
ENSG00000225190	PLEKHM1	0.073891398	0.514087638	4.63233655175437	550	540	412	480	605	573
ENSG00000225362	CT62	-0.238147298	0.715514701	-1.47577979046932	15	4	7	4	9	8
ENSG00000225526	MKRN2OS	0.276979001	0.463571809	-0.0841358539507329	22	14	16	23	18	26
ENSG00000225614	ZNF469	0.332998407	0.03088495	4.17146511408628	343	342	308	339	502	486
ENSG00000225663	MCRIP1	0.318454468	0.015091354	7.53846675783161	3837	3666	2856	3943	4762	4813
ENSG00000225697	SLC26A6	0.37071388	0.009353175	5.3972474841126	758	827	707	877	1106	1143
ENSG00000225805	DEFB131B	-1.930162144	0.05490621	-2.10877249447855	15	5	9	1	1	7
ENSG00000225828	FAM229A	0.549614127	0.006826203	3.80569021057731	237	267	210	359	375	364
ENSG00000225830	ERCC6	-0.100903207	0.317601821	4.9435231715548	677	674	618	542	752	647
ENSG00000225899	FRG2B	1.395394872	0.27842679	-3.07811672639911	2	2	0	11	4	1
ENSG00000225921	NOL7	-0.164080088	0.08744503	6.17957995965751	1717	1499	1527	1314	1581	1560
ENSG00000225950	NTF4	1.82435898	0.005882673	-0.430073256594048	12	7	5	36	29	26
ENSG00000225968	ELFN1	1.57239285	0.068292701	-1.05511291531426	7	9	2	30	17	11
ENSG00000225973	PIGBOS1	0.260857897	0.147982681	2.98530373524018	161	130	156	177	206	179
ENSG00000226174	TEX22	-0.963857285	0.036749918	0.626203806276653	44	50	37	35	21	18
ENSG00000226479	TMEM185B	0.03474906	0.699726339	5.83589969366986	1277	1188	1029	1145	1295	1317
ENSG00000226650	KIF4B	-1.031766975	0.017372157	1.53932835964179	79	111	72	26	60	51
ENSG00000226742	HSBP1L1	0.485694187	0.017283956	3.93485595425773	282	263	250	414	397	366
ENSG00000226763	SRRM5	0.347154067	0.454753089	0.211347535460346	16	26	21	26	20	41
ENSG00000226784	PGAM4	-0.241189466	0.353906859	1.85982353686978	85	81	78	49	102	72
ENSG00000226887	ERVMER34-1	2.502499559	0.00079152	0.325657024791726	15	12	6	51	81	64
ENSG00000227051	C14orf132	-0.037742942	0.776669407	8.52744230911035	8520	7925	6743	8069	7923	7628
ENSG00000227057	WDR46	-0.419329031	0.006948885	6.92955636705106	3079	2953	2681	2271	2293	2272
ENSG00000227124	ZNF717	0.400147797	0.009702458	3.7012208259269	242	233	223	285	336	350
ENSG00000227268	KLLN	0.749472491	0.03862257	2.37178774475199	76	77	92	176	147	118
ENSG00000227345	PARG	-0.207592307	0.058032536	5.77949524699347	1285	1176	1183	1037	1203	1081
ENSG00000227500	SCAMP4	0.498620851	0.001770227	6.6369329550412	1906	1837	1458	2292	2736	2667
ENSG00000227507	LTB	-1.849561688	0.005222429	-0.553985836820828	33	23	24	4	13	7
ENSG00000228049	POLR2J2	-1.486970992	0.00677255	0.460683298367072	52	42	49	9	26	21
ENSG00000228253	MT-ATP8	-0.028210677	0.876154689	10.4657638750754	29966	29444	28783	32425	32994	25907
ENSG00000228300	C19orf24	0.04871753	0.886635909	4.71407903466891	629	540	430	805	542	449
ENSG00000228474	OST4	-0.03402042	0.874507601	7.11127135865174	3264	2925	2497	3456	2768	2693
ENSG00000228486	C2orf92	-1.559703326	0.000342788	1.97509156510935	154	144	120	40	61	48
ENSG00000228594	FNDC10	0.071930159	0.631291012	4.89701456248149	698	648	468	629	666	691
ENSG00000228672	PROB1	0.84763053	0.004726966	2.89577567270514	131	136	82	176	251	227
ENSG00000228696	ARL17B	-0.052843843	0.900616177	-1.15234288164915	10	8	9	7	13	8
ENSG00000228716	DHFR	-1.462623752	0.000529559	5.43856850527801	1460	1477	1525	383	753	615
ENSG00000228727	SAPCD1	-0.233247645	0.439102215	1.35463801396724	48	60	63	47	44	62
ENSG00000229117	RPL41	-0.381258519	0.010511479	6.7713738038812	2717	2445	2538	1978	2062	2172
ENSG00000229474	PATL2	1.089155211	0.125537296	-1.16047787242154	6	10	3	22	10	12
